อพป.,หมู่บ้านอาสาพัฒนาและป้องกันตนเอง
อสป.,อาสาสมัครปกป้องสถาบัน
อสม.,อาสาสมัครสาธารณสุข
อสร.,องค์การผลิตอาหารสำเร็จรูป
ใคร่,ประสงค์
ช่วย,อนุเคราะห์
ทำไม,เหตุใด
อะไร,สิ่งใด
อะไร,สิ่งใด
พลฯ,พลทหาร
ฯลฯ,ฯลฯ
กก.,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร
กน.,กรมการค้าภายใน
กม.,กิโลเมตร
คห.,คหกรรม
จท.,จ่าโท
จว.,จังหวัด
ชม.,ชั่วโมง
ซม.,เซนติเมตร
ดร.,ดอกเตอร์
ต.ค,ต.ค
ต.ม,สำนักงานตรวจคนเข้าเมือง
ตม.,สำนักงานตรวจคนเข้าเมือง
ตร.,ตำรวจ
ทค.,สำนักงานคณะกรรมการกิจการโทรคมนาคม
ทบ.,กองทัพบก
ทร.,กองทัพเรือ
ทส.,นายทหารคนสนิท
ทอ.,กองทัพอากาศ
นน.,น้ำหนัก
นพ.,นายแพทย์
นร.,	นักเรียน
บช.,บัญชี
บพ.,กรมการบินพาณิชย์
ปณ.,ไปรษณีย์
ปล.,ปัจฉิมลิขิต
ปส.,กรมประชาสงเคราะห์
ปอ.,รถโดยสารประจำทางปรับอากาศ
ผช.,ผู้ช่วย
ผญ.,ผู้ใหญ่บ้าน
ผบ.,ผู้บังคับการ
ผศ.,ผู้ช่วยศาสตราจารย์
ผอ.,ผู้อำนวยการ
พช.,สำนักงานพัฒนาชุมชนจังหวัด
พท.,พื้นที่
พป.,สถาบันพระปกเกล้า
พม.,กรมพัฒนาสังคมและสวัสดิการ
พว.,สำนักพระราชวัง
ภก.,เภสัชกร
ภญ.,เภสัชกรหญิง
มก.,มิลลิกรัม
มช.,มหาวิทยาลัยเชียงใหม่
มม.,มิลลิเมตร
มร.,	มิสเตอร์
มล.,	มิลลิลิตร
มส.,มหาวิทยาลัยมหาสารคาม
ยธ.,	กรมโยธาธิการ
รง.,กระทรวงแรงงาน
รบ.,ราชบัณฑิตยสถาน
รพ.,โรงพยาบาล
รร.,โรงแรม
รศ.,รองศาสตราจารย์
รอ.,กรมราชองครักษ์กระทรวงกลาโหม
วค.,วิทยาลัยครู
วช.,สำนักงานคณะกรรมการวิจัยแห่งชาติ
วท.,	วิทยาลัยเทคนิค
ศก.,กรมศุลกากร
ศอ.,ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติ
สค.,สำนักงานคณะกรรมการส่งเสริมสวัสดิการและสวัสดิภาพครูและบุคลากรทางการศึกษา
สจ.,สมาชิกสภาจังหวัด
สช.,สำนักงานคณะกรรมการการศึกษาเอกชน
สต.,สตางค์
สน.,สถานีตำรวจนครบาล
สป.,สำนักงานปลัดกระทรวงศึกษาธิการ
สผ.,สำนักงานนโยบายและแผนสิ่งแวดล้อม
สภ.,สถานีตำรวจภูธร
สส.,สภาผู้แทนราษฎร
หน.,หัวหน้า
อก.,อัยการ
อจ.,อาจารย์
อต.,กรมอุตุนิยมวิทยา
อย.,สำนักงานคณะกรรมการอาหารและยา
อส.,สมาชิกอาสารักษาดินแดน
ถ้า,หาก
บอก,แจ้ง
ใคร,ผู้ใด
โง่,ขาดความรู้ความเข้าใจ
เลว,บกพร่อง
ฟ.,ฟาเรนไฮต์
ม.,เมตร
ร.,รัชกาล
ล.,ลิตร
ศ.,ศาสตราจารย์
อ.,อาจารย์
ก.,กรัม
ทำ,ดำเนินการ
ทำการ,ดำเนินการ
