กรมวิทย์ฯ,กรมวิทยาศาสตร์การแพทย์
สสช.,สำนักงานสถิติแห่งชาติ
สสท.,สมาคมส่งเสริมเทคโนโลยี
สสร.,สมาชิกสภาร่างรัฐธรรมนูญ
สสวท.,สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี
สสส.,สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ
สอวน.,มูลนิธิส่งเสริมโอลิมปิกวิชาการและพัฒนามาตรฐานวิทยาศาสตร์ศึกษา ในพระอุปถัมภ์สมเด็จพระเจ้าพี่นางเธอเจ้าฟ้ากัลยาณิวัฒนา กรมหลวงนราธิวาสราชนครินทร์
เสธ.,เสนาธิการ
หจก.,ห้างหุ้นส่วนจำกัด
หน.,หัวหน้า
อ.จ.,อาจารย์
อ.บ.,อักษรศาสตรบัณฑิต
อ.ย.,สำนักงานคณะกรรมการอาหารและยา
อ.ส.ค.,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย
อ.ส.ท.,องค์การส่งเสริมการท่องเที่ยวแห่งประเทศไทย
อ.ส.ม.ท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
อ.ส.,กองบัญชาการกองอาสารักษาดินแดน
อ.,อาจารย์
อ.อ.ป.,องค์การอุตสาหกรรมป่าไม้
อก.,	อัยการ
อคส.,องค์การคลังสินค้า
อจ.,อาจารย์
อจญ.,อาจารย์ใหญ่
อชก.,เอเชียนเกมส์
อต.,	กรมอุตุนิยมวิทยา
อตก.,องค์การตลาดเพื่อเกษตรกร
อบจ.,องค์การบริหารส่วนจังหวัด
อบต.,องค์การบริหารส่วนตำบล
อปท.,องค์กรปกครองส่วนท้องถิ่น
อปพร.,อาสาสมัครป้องกันภัยฝ่ายพลเรือน
อผศ.,องค์การสงเคราะห์ทหารผ่านศึก
อพช.,องค์กรพัฒนาเอกชน
อพป.,หมู่บ้านอาสาพัฒนาและป้องกันตนเอง
อพวช.,องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติ
อย.,สำนักงานคณะกรรมการอาหารและยา
อส.,สมาชิกอาสารักษาดินแดน
อสกท.,องค์การส่งเสริมกีฬาแห่งประเทศไทย
อสป.,อาสาสมัครปกป้องสถาบัน
อสม.,อาสาสมัครสาธารณสุข
อสมท.,องค์การสื่อสารมวลชนแห่งประเทศไทย
อสร.,องค์การผลิตอาหารสำเร็จรูป
ถ้า,หาก
เดี๋ยวนี้,ขณะนี้	
เหมือนกัน,เช่นเดียวกัน
อย่างไร,เช่นใด
ได้ไหม,ได้หรือไม่
บอก,แจ้ง
ทำ,ดำเนินการ
ตรวจดู,ตรวจสอบ
ใคร่,ประสงค์
ช่วย,อนุเคราะห์
ไม่ได้,มิได้	
ไม่ดี,ไม่สมควร
ไม่สมควร,มิชอบ
ทำไม,เหตุใด
อะไร,สิ่งใด
ขอยืม,ขอรับการสนับสนุน
ติดต่อไปยัง,ประสานงานไปยัง
ในเรื่องนี้,ในกรณีนี้
เสร็จแล้ว,แล้วเสร็จ	
ยังไม่ได้ทำ,ยังไม่ได้ดำเนินการแต่อย่างใด
ใคร,ผู้ใด
ที่ไหน,ที่ใด
แบบไหน,แบบใด
อะไร,สิ่งใด
เมื่อไหร,เมื่อใด
ทําไม,เพราะอะไร
ต้องการ,ประสงค์
ขอเชิญมา,ขอเชิญไป
ขอเตือนว่า,ขอเรียนให้ทราบว่า
โง่,ขาดความรู้ความเข้าใจ
ใช้ไม่ได้,ยังต้องปรับปรุง
เลว,ยังบกพร่อง
ขอให้ดําเนินการ,โปรดพิจารณาดําเนินการ
โปรดอนุมัติ,โปรดพิจารณาอนุมัติ
